skill,model,pr_auc,roc_auc
sql,spark_random_forest,0.30633602385368297,0.7373130020339324
sql,spark_gbt,0.32632134187017864,0.7686943506206123
sql,spark_logistic_regression,0.30696018218386595,0.7694236828165952
python,spark_random_forest,0.3882711459428079,0.7888032339790572
python,spark_gbt,0.42799232766451256,0.8300956524375448
python,spark_logistic_regression,0.39756328767911286,0.8298559116936796
linux,spark_random_forest,0.3151887205401999,0.7506774020803118
linux,spark_gbt,0.3344034818985232,0.7625841846495528
linux,spark_logistic_regression,0.31331885913601154,0.795520947166953
postgresql,spark_random_forest,0.3065992326508945,0.8459712776607863
postgresql,spark_gbt,0.3375000217643974,0.8582210887484993
postgresql,spark_logistic_regression,0.3127962810491985,0.8605589981703315
аналитическое мышление,spark_random_forest,0.09876982619088093,0.6442201173509138
аналитическое мышление,spark_gbt,0.09513867881265005,0.656346617902119
аналитическое мышление,spark_logistic_regression,0.10823494983623962,0.6844248350874919
git,spark_random_forest,0.25263720829445246,0.8170828821796391
git,spark_gbt,0.2989795496044954,0.8279326039332203
git,spark_logistic_regression,0.23980807151818045,0.8379445437682039
деловая коммуникация,spark_random_forest,0.09209484842360197,0.6982348379737395
деловая коммуникация,spark_gbt,0.10284196593520441,0.7178722736544803
деловая коммуникация,spark_logistic_regression,0.0839621692554123,0.7214968751078366
работа с большим объемом информации,spark_random_forest,0.07285315246512368,0.6766336273765244
работа с большим объемом информации,spark_gbt,0.07197012981719685,0.6895569525016684
работа с большим объемом информации,spark_logistic_regression,0.07224581069402282,0.6992161798696962
docker,spark_random_forest,0.26621312478823866,0.8502159489893826
docker,spark_gbt,0.307928982560682,0.8594911458937402
docker,spark_logistic_regression,0.2618752837098445,0.8659930094999104
1с программирование,spark_random_forest,0.09328898893184359,0.7311630378328143
1с программирование,spark_gbt,0.10397025952444652,0.7661375471543378
1с программирование,spark_logistic_regression,0.10755307289112324,0.808075009567547
организаторские навыки,spark_random_forest,0.06698916346250045,0.7045356204055052
организаторские навыки,spark_gbt,0.08295871739391365,0.7284137392032111
организаторские навыки,spark_logistic_regression,0.07019343689961999,0.739209934904825
javascript,spark_random_forest,0.3446050092103262,0.8758426020528887
javascript,spark_gbt,0.4337911210071887,0.8672965284291158
javascript,spark_logistic_regression,0.3898857870406233,0.8783980456364674
английский язык,spark_random_forest,0.08772008462651268,0.6878110419906687
английский язык,spark_gbt,0.09706005107061466,0.7132754919196698
английский язык,spark_logistic_regression,0.08524128469548882,0.6942554432348369
бизнес-анализ,spark_random_forest,0.08874380332957152,0.742689369600914
бизнес-анализ,spark_gbt,0.09743047434172497,0.7497893910187764
бизнес-анализ,spark_logistic_regression,0.08966362385914214,0.7673957664025131
деловая переписка,spark_random_forest,0.0521566820243408,0.6914175574469007
деловая переписка,spark_gbt,0.06009529532433692,0.7102031952433292
деловая переписка,spark_logistic_regression,0.06177493965544876,0.7239187285590786
управление командой,spark_random_forest,0.10973574667048841,0.746586783891096
управление командой,spark_gbt,0.12457221816095831,0.7663669880884854
управление командой,spark_logistic_regression,0.09706541986873841,0.7634831726224234
1с: предприятие 8,spark_random_forest,0.06372192218732962,0.7403821338669587
1с: предприятие 8,spark_gbt,0.08434036088100728,0.752387716289079
1с: предприятие 8,spark_logistic_regression,0.07526366418942099,0.7801956031477554
java,spark_random_forest,0.44535290249186565,0.835099568499605
java,spark_gbt,0.5162291517065736,0.8290082228594144
java,spark_logistic_regression,0.44424648902296815,0.8528259281397356
разработка технических заданий,spark_random_forest,0.06892743032231413,0.6872733852904855
разработка технических заданий,spark_gbt,0.09169471366661677,0.692287664363342
разработка технических заданий,spark_logistic_regression,0.06958144003163876,0.7208544728100849
деловое общение,spark_random_forest,0.06211581219214724,0.7557358872857092
деловое общение,spark_gbt,0.07359537338746154,0.7646656124938221
деловое общение,spark_logistic_regression,0.06948211476480146,0.7852323405497809
